,category,description,title,brand,asin
13,"['Travel, City & Regional']","[""Cond Nast Traveler requires its writers to travel anonymously and pay their own way. This assures that you get credible, truthful information. With Cond Nast Traveler as your guide, you'll discover the best islands, cities, spas, castles, and cruises. Your subscription also includes our must-have Gold List, Hot List and Reader's Choice issues filled with the world's best places to eat, drink, shop and stay."", ""As the title implies, <I>Traveller</I> offers more than just articles and advice on vacation planning. Beyond resort and hotel reports, its insightful, thorough, and informative features delve into regional culture, transportation, and cuisine, serving those who are as interested in actually experiencing another part of the world as they are in escaping their own. <I>Traveller</I> also offers pragmatic articles on the perils of visiting foreign countries, such as car insurance (or the lack thereof), medical care, and crimes such as pickpocketing. Other features pinpoint charming diversions--a roadside dried-coconut vendor on Maui's Hana Highway, Seattle's surreal Experience Music Project museum, the latest boutique hotel in Miami's South Beach, or a tiny crêpe shop in Paris. The focus is on more opulent destinations--those looking to do London on $15 a day should look elsewhere. But whether you'll travel by mountain bike, Sherpa guide, or Learjet, and whether you're on a lengthy sojourn or a weekend spa getaway, <I>Traveller</I> inspires a voyager's dreams. <I>--Beth Massa</I>""]",,Conde Nast Publications,B00005N7PG
14,['Pets & Animals'],"['Mischievous, fascinating, quiet and cuddly, cats are our companions. Keep up with the latest information on healthcare, feeding, breeding, adoption and products for these furry friends. Share stories and photos and find great gift ideas for you, a fellow cat lover or your cat or cats.']",,"Grass Roots Publishing Co., Inc.",B00005N7QY
15,['Business & Investing'],"[""Consumer Reports brings you the best products, the best brands, the best services and the best prices! Consumer Reports compares features, sorts through the choices, analyzes the options and reports back to you. You benefit from the clear advice, useful recommendations, wise insights and easy-to-understand information. When you put Consumer Reports to work for you, you get more than 100 car experts, engineers, chemists, statisticians, nutritionists, money advisors and safety gurus you can count on! Consumer Reports tells you the truth -- in plain English -- straight from the experts at the world's largest consumer product testing center. Live healthier, wealthier and wiser with the facts you find only in Consumer Reports<br /><br />The Kindle Edition of this magazine includes Page View. In Page View, your magazines look just like the printed edition with all the photos and formatting.<br /><br /> Interactive content such as videos and slide shows are only available on: Kindle Fire 2nd Generation, Kindle Fire HD, Kindle Fire HDX."", ""The resolute research team at <i>Consumer Reports</i> has broken, melted, disabled, and jacked-up almost everything that's been offered for sale in the last few decades. If you want to know, for sure, if a product lives up to its claim, <i>Consumer Reports</i> has the answer. In addition to providing unbiased detailed analysis of goods ranging from chainsaws to televisions to washable wool sweaters, the canny staff offers common sense advice. Consider this classic, their take on the efficacy of conditioning shampoo: Shampoo is meant to be rinsed out, any conditioner in a good shampoo will go right down the drain. <i>--Edith Sorenson</i>""]",,Consumer Reports,B00005N7PH
16,"['News & Political Commentary', 'Ideas & Commentary']","['This magazine is edited to cover current social, political, cultural, scientific and economic issues. It also includes reporting, essays, fiction and memoirs by distinguished writers and promising new voices. It regularly features a statistical index, short cuts from various international texts and close analysis of current pieces of media.', 'Literary, brainy, and left-leaning, <i>Harper\'s Magazine</i> is an American institution (the first issue was dated June 1850). Its clean, type-heavy design shouts ""serious readers only"": many pages are two columns of text, period, and the illustrations are mostly art (often photographic) and artistic adornments. The reading, though, is what matters. It\'s substantive and often sublime. Along with lengthy, thoughtful, frequently controversial articles on politics and culture, you\'ll find essays, short fiction, in-depth reporting, and a few book reviews. Bylines routinely represent leading writers and thinkers of the day. Standing features include the much-copied but rarely equaled ""Harper\'s Index,"" in which statistics tell stories; ""Readings,"" a section of excerpts ranging in length from a few lines to thousands of words; and ""Annotation,"" in which a real-life document is reproduced and ""explained,"" usually to devastating political or cultural effect. Each issue is a full meal for the mind. <i>--Nicholas H. Allison</i>', '', '']",,Harper's Magazine,B00005N7QO
17,"['Travel, City & Regional', 'United States', 'West']","['Los Angeles magazines lets you meet the people, explore the places, and preview the events that make Southern California such an exciting, and exuberant place to live.']",,Emmis Publishing,B00005N7R7
18,"['Automotive & Motorcycles', 'Automotive']","['Radio Control Car Action is dedicated to the radio control car modeling enthusiast. Feature articles and columns present technical and general information on building electric gas R/C cars, modifications, modeling equipment, major competition events, modeling personalities and products. How To articles and in-depth product evaluations are featured in every issue, along with beginner articles.']",,AirAge Publishing,B00005N7OA
19,"['Travel, City & Regional']","['This magazine focuses on the islands of the world from the major travel destinations. It explores island lifestyles, culture and history through its regular departments. Features specifically cover such island-related topics as the arts, food, sports, nature and books.', ""Islands Magazine is one of the most informative publications around. It focuses exclusively on island vacations and features thoughtful articles with themes of white beaches, crystal clear skies, and blue oceans. All of this is presented with stunning photography and high-quality printing. The magazine does a great job of inspiring would-be travelers to visit featured islands. <br /><br /> Not only does Islands Magazine cover popular and well-known tropical islands such as the Caribbean and Hawaii, but the editorial team also does a great job of including as many lesser-known islands as possible from every corner of the globe. The articles are well researched and presented, resulting in a great leisure-time magazine. <br /><br /> The magazine offers several features that are particularly helpful to a vacation planner, such as the bulletin section, which has important facts about featured islands. This information includes accommodations, restaurants, and attractions. The bulletin offers cost of living analyses, price analyses, contact details, and more. <br /><br /> Islands Magazine has relevant adverts containing great deals on travel. A classified section lists homes available for vacation rental by locals, giving you alternatives to the usual hotel arrangement and letting you save money in the process. <br /><br /> Islands Magazine can help you dream up an island vacation and then plan it. If you're tired of your routine and need a vacation, Islands Magazine can inspire the vacation spirit and help get you out of the rut."", '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,Bonnier Corporation,B00005N7R0
20,"['Religion & Spirituality', 'Christianity']","['No matter what your calling in life; Catholic faith and family living is both uniquely challenging and uniquely joyful. Catholic Digest gives you the tools you need to feed your faith life, nurture your relationships, care for your family, and bring the light of Christ to others.']",,Bayard Inc,B00005N7P8
21,"['Professional & Educational Journals', 'Professional & Trade', 'Humanities & Social Sciences', 'History']","['American History Presents the history of America to a spectrum of general-interest readers in an authoritative, informative, thought-provoking and entertaining style. Lively narratives take readers on an adventure with history, complemented by rare photographs, paintings, illustrations and maps.']",,History Net,B00005N7OF
22,"['Science, History & Nature', 'Nature & Ecology']","['Discover magazine provides a comprehensive look into the latest news in the world of science and the effect it has on our everyday lives. Sure to satisfy the curiosity of your most inquisitive customers, Discover is a must-have magazine for your waiting room.', '', '', '', '']",,Kalmbach Publ Co,B00005N7PT
23,"['Home & Garden', 'Design & Decoration']","[""Get caught up in a continuous stream of creative ideas for craft and home projects. In each issue you'll find pages of cost-conscious, quick and easy, and holiday/seasonal project ideas. Each issue is filled with easy-to-follow instructions and patterns for every kind of needlework, including cross-stitch, needlepoint, quilting and crochet to kids' stuff, home decor, gifts and more.""]",,"Grass Roots Publishing Co., Inc.",B00005N7PR
24,"['Home & Garden', 'Design & Decoration']","['Better Homes & Gardens offers beautiful photography and tons of fresh, seasonal ideas for adding charm to your home. Improve your curb appeal and make your space extra cozy with this longstanding guide to home decor.']",,Meredith,B00005N7OV
25,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Golf']","[""The game's most widely read publication, GOLF Magazine reaches over 6 million golf enthusiasts every month. Its mission is simply to provide the most enjoyable golfing experience to its readers."", '', '', '', '']",,Golf Magazine,B00005N7QE
26,"['Travel, City & Regional', 'United States', 'West']","[""Orange Coast is the premier local lifestyle magazine of the region, bringing together Southern California's most affluent coastal communities through smart, fun, and timely editorial content, compelling photographs and quality advertising.""]",,Hour Media Llc,B00005N7RY
27,"['News & Political Commentary', 'Ideas & Commentary']","['Mother Jones provides investigative reports, national and international news, and perspectives on politics, culture and current controversies. In addition, it reports on the environment, family, national politics, individual liberties, personal choice and corporate and government power. Mother Jones challenges conventional wisdom, exposes abuses of power, helps redefine stubborn problems and offers fresh solutions.', '', '']",,Foundation for National Progress,B00005N7RJ
28,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hiking & Camping']","[""Outside covers the exciting, active lifestyle of today's man. Each month readers share the adventure, with travel reporting and advice available nowhere else, inspiring profiles, breathtaking photography, epic news from the frontiers of exploration and risk, rock-solid advice on gear, health and fitness and an addictive quotient of daring and mind-blowing surprises. Outside is a 2013 winner of the National Magazine award for General Excellence and is a 5 time winner of this prestigious honor."", '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""> <div class=""content"">', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Outside</em> Magazine?</span></strong> <br /> <em>Outside</em> readers are passionately committed to leading an active lifestyle. <em>Outside</em> not only motivates readers to uncover and define their own personal day-to-day adventures, but also provides them with the tools, products and information to fulfill them. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>']",,Outside,B00005N7S2
29,"['Fashion & Style', 'Men']","[""GQ helps you look sharp and live smart. Each issue brings you revealing sports profiles, intimate photos of today's hottest up & coming actresses and models, tips on fine food & drink, sex, politics, fashion and grooming advice, The Style Guy's answers to your questions and so much more!"", 'The ""GQ look"" is synonymous with classic cool and sophistication, and despite a recent outburst of trendy magazines (think <i><a href=""/exec/obidos/ASIN/B00005NIPP/${0}"">Maxim</a></i> and <i><a href=""/exec/obidos/ASIN/B000066B5I/${0}"">FHM</a></i>) vying for the attention of young professional males, the steeped-in-tradition monthly <i>GQ</i> carries on without missing a beat. Yes, there\'s more dcolletage gracing the cover than there used to be, but <i>GQ</i> continues to supply enough cultural commentary, celebrity profiles, features, and style guides to keep the modern man in touch with what\'s going on in the world from month to month.', '<i>GQ</i>\'s ideal reader is probably one who actually might be able to afford any of the high-end suits, shoes, and watches featured among the countless ads packed between the covers. Though the average reader might enjoy scanning a fashion spread about steakhouses entitled ""How to Dress for a Porterhouse"" and reading articles like ""50 Ways to Blow Your Bonus,"" it\'s unlikely that such folly holds much practical advice. Literary editor Walter Kirn keeps short fiction on display, and Alan Richman\'s writing on food and dining out is always entertaining, even when he comes across as borderline cranky. Two regular Q&A features, ""The Style Guy"" and ""Dr. Sooth,"" run the gamut from when it\'s appropriate to wear a straw hat to problems in the bedroom.<br /><i>--Brad Thomas Parsons</i>', '', '']",,Conde Nast Publications,B00005N7QI
30,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Skiing & Snowboarding']","['SNOW GOER is edited for the sport hard-core enthusiasts. Head-to-head comparisons, product evaluations, owners surveys and technical how-to articles.']",,EPG Media & Specialty Information,B00005N7O4
31,"['Health, Fitness & Wellness', 'Health']",,Natural Health,,B00005N7RP
32,"['Home & Garden', 'Design & Decoration']","[""Satisfy your passion for stylish living and practical ideas for updating every room in your home. Find great ways to use today's best furnishings and accessories within our pages."", '', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>House Beautiful</em>?</span></strong> <br /> The <em>House Beautiful</em> reader is someone whose home is her bedrock. She is always improving it because the process  and result  delights her. Happiness in her home comes from easy luxury and highly personal style. Her home is a gift to share with family and friends. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>', '', '', '']",,Hearst Magazines,B00005N7QW
33,"['Technology', 'Computers & Internet']",,PC World,,B00005N7S5
34,"['Business & Investing', 'Entrepreneurship']","['Start a Home-Based Business. Generate income part-time or full time. Expand an existing business. Succeed and prosper working from home! Since 1994, HOME BUSINESS Magazine\'s (HBM) has been the industry leader for home-based entrepreneurs. HBM editorial covers all areas of the home-based business arena including marketing and sales; business start-up topics; business diversification and expansion; social media; e-commerce; all types of businesses and opportunities; home office set-up and improvement; business management and operations; raising money and financial management; telecommuting; interviews with industry expert; success stories and more! The magazine offers both print and digital version advertising to reach the best prospect for your advertising investment. Home Business Magazine is your ""one-stop-shop"" to keep up on the world of home business.']",,Home Business Magazine,B00005N7QS
35,"['Home & Garden', 'How-to & Home Improvements']","['Tackle any home improvement project or repair with help from The Family Handyman. Guarantee success with step-by-step instructions and how-to photos, plus save time and money with handy hints, workshop tips and new product reviews. No matter how little experience you have, The Family Handyman makes it easy! Family Handyman publishes 11 issues per year which includes a special issue that counts as 2 issues in your subscription.']",,"Trusted Media Brands, Inc",B00005N7Q1
36,"['Entertainment & Pop Culture', 'Movies']",,Nickelodeon,,B00005N7RV
37,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Training']","[""Men's Health is an essential read for guys who want to look better, feel better, and live better. But Men's Health isn't just a magazine. It's the solution-for every bit of chaos, confusion, or suffering that the world can inflict on the male of the species. Belly fat. Fatheaded bosses. Exercise plateaus. Exercise excuses. Her boredom. His boredom. The fast-food menu. The wine list. We give men the tools, strategies, and motivation to handle all of this and more."", '', '', '', '']",,Hearst Magazines,B00005N7RD
38,['News & Political Commentary'],,Newsweek - Regular ed,,B00005N7RT
39,"['Technology', 'Computers & Internet']",,PC Magazine,,B00005N7S4
40,"['Professional & Educational Journals', 'Professional & Trade', 'Arts', 'Crafts & Collectibles']","['Teddy Bear & Friends is an art magazine for adult teddy bear collectors. Content includes artist and manufacturer profiles, secondary market pricing, convention coverage and calendars, and crafting patterns and tips. Along with coverage of collectible teddy bears, attention is given to other plush animals (friends) and to miniature teddy bears. Teddy Bear & Friends sponsors the TOBY program, an annual awards program in which plush creations are judged first by industry experts and then readers, honors the best of artist and manufactured teddy bears and friends in the industry. While Teddy Bear & Friends is mainly a consumer publication, it is also read as a trade magazine by retailers, artists, show promoters, and other members of the bear industry.']",,JP Media LLC,B00005N7T1
41,"['Travel, City & Regional', 'United States', 'South']","[""Texas Monthly has been the authority on the Texas scene since 1973, covering music, arts, travel, restaurants and events with its insightful recommendations. Above all, Texas Monthly provides its readers with a magazine of the highest editorial quality, a standard that has earned it 9 National Magazine Awards, the industry's most coveted prize.""]",,Texas Monthly,B00005N7T3
42,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Training']","['This is a lifestyle magazine for men and women interested in building their bodies and minds. It contains advice on getting in shape and staying fit. Each issue includes articles on exercise routines, diet, nutrition, sexual fitness, psychology, sports medicine, kinesiology, physiology, weight control and personal appearance.']",,"American Media, Inc.",B00005N7RO
43,"['Home & Garden', 'Antiques & Collectibles']","[""The Magazine Antiques brings you the fascinating worldsof architecture, interior design, and fine and decorative artsfrom the dawn of civilization to the modern era.You'll learn about private collections and museums around the world that highlight the latest trends in collectingand decorating with antiques.""]",,Brant Publications,B00005N7OJ
44,"['Fashion & Style', 'Beauty']","['Seventeen is a general service magazine for young women emphasizing fashion, beauty and lifestyle information, including health, food, careers, relationships, sports and entertainment.', '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""> <div class=""content""><em>Seventeen</em> is your handbook to life! Full of great fashion tips that keep you ahead of the trends... the hottest makeup, the best products for beautiful skin, must have jeans, the best shoes, belts & bags, and those great little dresses that keep you looking your best at school, parties... or just about anywhere! Get the latest scoop on celebrities, music, movies and more. Plus, catch up on the guy scene every month with <em>Seventeen</em>\'s Guy Talk. Recent features include “615 Fashion & Beauty Ideas,” “Be Green: Easy Ways to Save the Planet,” “Your Best Abs Ever,” and “Our First Celeb Beauty Awards.”', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Seventeen</em>?</span></strong> <br /> <em>Seventeen</em> readers want a guide where they can find everything important, all in one place. <em>Seventeen</em>\'s fashion-conscious, trendy readers are interested in the latest beauty and style trends. They want to know what\'s hot in music and movies and get the latest celebrity gossip. <em>Seventeen</em> readers are sophisticated and identify with social issues, political dilemmas, and world news. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>']",,Hearst Magazines,B00005N7SM
45,"['Travel, City & Regional', 'United States', 'Northeast']","['This magazine celebrates the people, lifestyle, heritage and unequaled beauty of the state which defines New England. Its color photography and award-winning stories delight both residents and visitors alike. It is the winner of many national awards and widely read and accepted by Vermonters.', '<a href=""/gp/help/customer/display.html/ref=hp_left_ac?ie=UTF8&nodeId=201293140"" target=""_blank"">Learn more</a> about auto-renewal subscriptions on Amazon.com']",,Vermont Life Magazine,B00005N7TD
46,"['Science, History & Nature', 'Essays & Commentary']","['The \'What\'s New\'"" magazine of science and technology. Covering the latest developments in cars, electronics, communications, tools, energy, aviation, science, space exploration and much more.']",,Bonnier Corporation,B00005N7SC
47,"['Cooking, Food & Wine', 'Recipes & Techniques']","[""Turn to Cookbook Digest, every cook's #1 guide to the latest cookbooks on the market. In each issue you'll find in -depth analyses of the newest cookbooks to hit the bookstores plus a sampling of the delicious recipes. You can then try the recipes to see if you want to invest in the cookbook. From low-fat baking and vegetarian delights to great grillables to regional and ethnic cuisine, Cookbook Digest delivers the best in incredible edibles!"", '', '']",,"Grass Roots Publishing Co., Inc.",B00005N7PL
48,"['Fashion & Style', 'Women']",,Woman's Day,,B00005N7TM
49,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Water Sports']","['<br>Leading forum for critical doscourse in psychoanalytic theory and clinical practise and their application to art, literature, history and the creative process.</br>']",,The Enthusiast Network,B00005N7UG
50,"['Fashion & Style', 'Women']","[""Harper's BAZAAR, the fashion authority, brings you the latest new looks from the hottest designers. You'll get 12 beautiful issues a year full of best dressed secrets, must-haves and great finds. Experience the best in style and beauty with Harper's BAZAAR.""]",,Hearst Magazines,B00005N7QN
51,"['Professional & Educational Journals', 'Professional & Trade', 'Transportation']","[""Popular Mechanics is for people who have a passion to know how things work. It's about how the latest advances in science and technology will impact your home, your car, consumer electronics, computers, even your health. Popular Mechanics - answers for curious minds."", '', '<span style=""font-family: Verdana,Arial,Helvetica,sans-serif;""> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Popular Mechanics</em>?</span></strong> <br /> The <em>Popular Mechanics</em> reader is curious. The reader is driven to explore, become knowledgeable and actively participate in a wide variety of interests, making him today\'s Go-to Guy that Main Street America goes to for advice. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong> <br /> The <em>Popular Mechanics</em> reader has a curious mind - a hunger to know, an inquisitive interest, and a desire to investigate and learn. Every month, <em>Popular Mechanics</em> inspires, instructs and influences millions of curious minds - engaging them with breakthroughs in science and technology, how-to stories on digital technology, automotive advances and home upgrades. </span>', '', '', '']",,Hearst Magazines,B00005N7SA
52,"['Professional & Educational Journals', 'Professional & Trade', 'Humanities & Social Sciences', 'History']","['The only magazine exclusively devoted to telling the full story of this controversial and divisive conflict. Gripping firsthand accounts and carefully researched articles by both veterans and historians will broaden your understanding of what really happened, beyond the misconceptions.']",,History Net,B00005N7VK
53,"['Arts, Music & Photography', 'Music']",,Vibe,,B00005N7TE
54,"['Fashion & Style', 'Women']","[""Vogue is the fashion authority. Setting the standard for over 100 years has made Vogue the best selling fashion magazine in the world. Each issue delivers the latest in beauty, style, health, fitness and celebrities and your subscription will include the must-have Spring and Fall Fashion editions. Before it's in fashion, it's in Vogue!""]",,Conde Nast Publications,B00005N7TG
55,"['Business & Investing', 'Business Management']","['Forbes focuses on top management and those aspiring to positions of corporate leadership in business. This insider publication features information on successful companies and individuals, industries, marketing, law, taxes, technology, computers, communications, investments, management performance', ""Many magazines publish lists, ranking best and worst and most improved, but <i>Forbes</i> alone can claim its readership is on the list. Each year, the magazine names the richest people and the biggest companies, and those very folks subscribe to this nervy and sly business pub. <i>Forbes</i> covers global business stories with insight, solid sourcing, and the sort of groupie zeal usually reserved for fanzines. No merger, new ad campaign, or lawsuit goes unnoticed and stories always focus on the movers who are shaking things up. Read <i>Forbes</i> to make sense of today's volatile market--or just for the sheer pleasure of reading good reporting. <i>--Edith Sorenson</i>""]",,Forbes,B00005N7QA
56,"['Travel, City & Regional', 'United States', 'South']","['ATLANTA HOMES AND LIFESTYLES offers ideas on subjects such as interiors and design, remodeling, real estate, gardens and landscaping, food and entertaining, arts and antiques, and local personalities and events.']",,Esteem Media,B00005N7WD
57,"['Business & Investing', 'Finance']",,SmartMoney (1-year),,B00005N7SS
58,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Hunting & Firearms']","[""SPORT FISHING focuses on saltwater fishing, and is edited for the active sport fisherman. Regular features include hands-on techniques for improving inshore and offshore fishing performance; in-depth reviews of boats and engines; marine electronics equipment updates; the latest in fishing gear; location scouting for the world's top sport fishing waters; reports on saltwater marine life."", '', '']",,Bonnier Corporation,B00005N7SV
59,"['Arts, Music & Photography', 'Music']","['Bass Player magazine is written for serious musicians who play electric and acoustic bass. Each issue of Bass Player magazine features technique how-to articles, musician interviews and reviews of equipment, instructional videos, books and CDs.']",,New Bay Media LLC,B00005N7OU
60,"['Entertainment & Pop Culture', 'Movies']","['This magazine covers film, video, television and contemporary music. It provides in-depth editorials on top personalities, events and developments current in the world of entertainment.', '<hr class=""bucketDivider"" size=""1"" /> <div class=""bucket"" id=""productDescription""> <div class=""content"">', '<strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">Who Reads <em>Us Weekly</em>?</span></strong> <br /> Us Weekly\'s readers are young, educated and affluent adults compelled by breaking celebrity news, Hollywood style and the best in entertainment. They focus on celebrities’ style, health and beauty routines, nutrition and fitness advice, and even the vacations of their favorite stars. The <em>Us</em> reader is interested in the film, television, and music industries, as well as fashion-forward trends and the inside entertainment scoop. <br clear=""all"" /> <br /> <strong><span style=""font-family: Verdana,Arial,Helvetica,sans-serif; color: #cc6600;"">What You Can Expect in Each Issue:</span></strong>']",,"American Media, Inc.",B00005N7TB
61,"['Sports, Recreation & Outdoors', 'Sports & Leisure', 'Flying']","['This magazine is edited for the active and/or beginning piston-engine pilot. Its coverage includes light single-engine to medium weight piston-engine planes and related products. Its editorial content emphasizes aircraft ownership justification, aircraft financing, maintenance, modification, pilot proficiency, adventure flying to destinations as well as information for the entry level individual who is interested in an aviation career.', '', '']",,Madavor Media LLC,B00005N7S8
