,overall,reviewerID,asin
407,5.0,A3PES2OC2EUA7P,B00005N7P0
408,5.0,A1Q4ZU2Y929N0A,B00005N7P0
409,3.0,AFS8GC8RYEGTF,B00005N7Q1
410,5.0,A3CD9YBOMLVNWI,B00005N7Q1
411,5.0,A3GDX4C1HVM1NY,B00005N7Q1
412,3.0,A2IE6LCN9W5DXE,B00005N7Q1
413,5.0,A1F2XX3SAHC1VL,B00005N7Q1
414,5.0,A1N3Z72HB8ISET,B00005N7Q1
415,5.0,AXUK6AQUN8CO0,B00005N7Q1
416,5.0,AW5JE8G8O8XWQ,B00005N7Q1
417,5.0,A35UF94PZD0KSU,B00005N7Q1
418,5.0,A3QJGLYL2CEK7W,B00005N7Q1
419,5.0,AXDCA2CU2BNSG,B00005N7P0
420,5.0,A1PIQ3C8TQT2QG,B00005N7P0
421,5.0,A16859JXLFD63I,B00005N7P0
422,5.0,A24IVUAUSYU7PM,B00005N7P0
423,5.0,A2HAM22UE1B89T,B00005N7P0
424,5.0,A24B2LRZSN18C6,B00005N7P0
425,5.0,A2PSC7LUNIDEAH,B00005N7P0
426,1.0,A5RHZE7B8SV5Q,B00005N7P0
427,4.0,A90J5VZYPZP62,B00005N7P0
428,5.0,ANRSMWQZGJF77,B00005N7P0
429,5.0,AQCQKR6T8LUNQ,B00005N7Q1
430,4.0,AHWINH6S5969V,B00005N7Q1
431,5.0,A1H2WJSALF3E9U,B00005N7Q1
432,5.0,A1HO3JY12IHY3Y,B00005N7Q1
433,5.0,ASFHE31AGZB5E,B00005N7Q1
434,5.0,A1PQJTGAVG0DNW,B00005N7Q1
435,5.0,A29ASZ68VU8IAH,B00005N7Q1
436,5.0,A2421IR1D2MY0I,B00005N7Q1
437,5.0,A3MX5XJEZ8BA0U,B00005N7Q1
438,4.0,A2WZMZC2SQCAFJ,B00005N7Q1
439,5.0,A34UUIS90Z9AVY,B00005N7OD
440,5.0,A1F6HX9EONAB3L,B00005N7OD
441,5.0,AP2RWNPTXCKG9,B00005N7OD
442,5.0,AJTCLHPRF03I4,B00005N7OD
443,5.0,A3NPDPDH3XP7DU,B00005N7OD
444,5.0,A3MMMNOSV3JHX0,B00005N7OD
445,5.0,A11172DUYALDQK,B00005N7OD
446,5.0,A1JXB16E77MV6A,B00005N7OD
447,1.0,AG0H1L11Y4MNA,B00005N7OD
448,5.0,A3D5HJM101E0JM,B00005N7OD
449,5.0,A155ILXJW56ZGE,B00005N7P0
450,3.0,A5JLAU2ARJ0BO,B00005N7P0
451,5.0,A2M8YJISJAJ6FK,B00005N7P0
452,5.0,A2IYCC1VI6AUFD,B00005N7P0
453,5.0,A1GGATN5TGXQ5,B00005N7P0
454,5.0,A24IF945JVW2HB,B00005N7P0
455,1.0,A3F07KXDCGOKPF,B00005N7P0
456,5.0,A1517CCZZQDWIR,B00005N7P0
457,5.0,A1RE639VN6BLYD,B00005N7P0
458,5.0,A3C5JI7P73MPQQ,B00005N7Q1
459,5.0,A24SWZCMV2XYO8,B00005N7Q1
460,5.0,A10RV8PF0H86S4,B00005N7Q1
461,5.0,A3BF3L51NPLHBZ,B00005N7Q1
462,5.0,AN2BSMU9H6JZA,B00005N7Q1
463,5.0,A3NPS7NZD8SPVB,B00005N7Q1
464,4.0,AUDC9TMYV56W7,B00005N7Q1
465,5.0,A1CGKSF5CCMFBP,B00005N7Q1
466,5.0,A38ENU1KJWWI4C,B00005N7Q1
467,5.0,A3SC5YM6SIN6Z6,B00005N7Q1
468,5.0,A1B56ZQ9AUQSE5,B00005N7Q1
469,3.0,A240Z2WVUX634J,B00005N7Q1
470,5.0,A19SO6YG4WKVC5,B00005N7Q1
471,5.0,A2XOSL5KPWHKD0,B00005N7Q1
472,3.0,A16QWSB3POIQG6,B00005N7Q1
473,2.0,A1BWBDMXC6BJV5,B00005N7Q1
474,5.0,ASH3ALAIDLMQ8,B00005N7Q1
475,5.0,A24P76HQD5H1SZ,B00005N7Q1
476,5.0,A3CP40HX10Y9KL,B00005N7Q1
477,5.0,AXVQEA6SFAR10,B00005N7Q1
478,4.0,A3TIF8Y7D5QZ3H,B00005N7P0
479,5.0,A3DLZ57U7AT6EJ,B00005N7P0
480,5.0,A3BO1VM9CSCWW1,B00005N7P0
481,5.0,A257E4U95O3CHP,B00005N7P0
482,5.0,AB6WWY7R82AQV,B00005N7P0
483,5.0,A1J3CT6KBX748W,B00005N7P0
484,5.0,A3BZMEQ9ID2JPZ,B00005N7P0
485,5.0,AUQKNU8KWN3T6,B00005N7P0
486,5.0,AS2UOOMNAST5D,B00005N7P0
487,5.0,A2935TFW4EC16O,B00005N7P0
488,1.0,A23SMFW6JE5LAK,B00005N7OD
489,3.0,A307JX6GKMN522,B00005N7OD
490,1.0,A1L3XTWNNTFDKJ,B00005N7OD
491,4.0,A36ICGVFC0IG8F,B00005N7OD
492,5.0,AJBK3S6OYBORB,B00005N7OD
493,5.0,AZ0HINOWMIJ2X,B00005N7OD
494,5.0,A17MJJGUBZK0GV,B00005N7OD
